OCCU_DESC,WK_TYPE,CJOB_TYPE,CJOB_NAME1,CJOB_NO,CJOB_NAME2,AVAILREQNUM,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,SALARY_L,SALARY_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE
"內湖-清潔員，薪26K-29K",全職,19,清潔／家事／托育(保母),190102,清潔工／資源回收人員,1,20221231,"邀請您到新盛環保公司面試，賣場清潔人員駐點:大潤發內湖二店 台北市內湖區舊宗路一段188號薪資:26，000~29，000  請洽: 王主任0981-157229                                                林經理0937-542976請先打電話約面試時間",台北市內湖區,無,中班,月薪,26000,29000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1000597&HIRE_ID=10141641","新盛環保有限公司",20211226
"送貨司機",全職,15,物流／運輸／資材,150103,小客(貨)車司機,2,額滿為止,"將雞肉送達到各間餐廳",台北市萬華區,無,日班,月薪,35000,40000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2464253&HIRE_ID=11119913","大嶺鮮雞家禽行",20220413
"水電配線技術人才",全職,10,技術／維修／操作,100205,電信及電力線路架設工,3,額滿為止,"從事電纜之架設、號誌燈裝設維護、檢查、修理等工作。",台北市信義區,無,夜班,月薪,40000,60000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1175979&HIRE_ID=11140123","信威交通工程有限公司",20220425
"助理網管工程師（此為線上就業博覽會）",全職,08,資訊／軟體／系統,080309,網路管理工程師,5,20220615,"１１１年５月１日～６月１５日「ＯＫＷＯＲＫ‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至　１１１年６月１５日止洽詢電話：０２－２３３８－０２７７想要知道更多活動資訊詳情請查詢 www.okwork.taipei1.提供24*7線上客戶服務、技術支援2.日常客戶問題建單追蹤處理，線上協助客戶處理問題。3.做問題初步的判斷，並協助工程師取得必要資訊，以利除錯。4.DNS網域產品購買、續約。5.負責和協力廠商的聯絡。6.監控server&網路狀態。",台北市內湖區,無,輪班三班制,月薪,30000,35000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2324608&HIRE_ID=11167407","倫發科技有限公司",20220505
"駕駛員",全職,15,物流／運輸／資材,150202,職業大客車司機,30,20220704,"依各路線班表載運乘客/具備職業大客車駕照。",台北市不限,無,,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,國中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=13808&HIRE_ID=11163537","中興大業巴士股份有限公司",20220504
"【法雅客】門市銷售人員 ■無經驗可(此為線上就業博覽會)",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,3,20220615,"1.銷售服務。2.顧客商品查詢服務。3.維修處理服務。4.進退貨處理。5.轉貨及調貨處理。6.商品陳列。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市信義區,1年以上,日班,月薪,27000,30500,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=20003&HIRE_ID=11216927","法雅客股份有限公司",20220530
"日月農莊櫃台外場人員",全職,16,旅遊／餐飲／休閒,160104,櫃檯服務人員,3,額滿為止,"櫃台買單賣票外場點菜送菜級主管交代事項(需住宿)",台北市士林區,無,日班、輪班二班制、中班,時薪,168,168,高職,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=388132&HIRE_ID=11124251","旭陽谷建設開發股份有限公司",20220415
"（北昌營造）法務專員(此為線上就業博覽會)",全職,03,人資／法務／智財,030202,法律顧問人員,1,20220615,"1.負責訴訟案件及非訟案件之追蹤管控。2.具營建業或飯店業法務經驗者佳。3.國內不動產法規蒐集更新。4.具英文聽說讀寫能力佳。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市中正區,3年以上,日班,月薪,40000,55000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=99241&HIRE_ID=11165015","皇翔建設股份有限公司",20220504
"大貨車司機",全職,15,物流／運輸／資材,150102,大貨車司機,1,20220724,"大貨車司機1、駕駛大貨車/小貨車，將貨物運送至顧客端。2、運送收發貨物，確保運送過程安全。 3、交付貨物並進行簽收。",台北市信義區,無,輪班二班制,月薪,40000,40000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2468061&HIRE_ID=11208787","三明報關股份有限公司",20220524
"顧客 服務人員(此為線上就業博覽會)",全職,06,客服／門市,060102,客戶服務人員,15,20220615,"服務品質管理及提升、顧客服務接待、服務品質教育訓練、顧客意見處理、服務競賽活動辦理等。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市不限,無,輪班三班制,月薪,30000,,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=152271&HIRE_ID=11202959","新光三越百貨股份有限公司",20220520
"《6/30艋舺站小徵》嚮辣/儲備幹部",全職,01,經營／行政／總務,010105,儲備幹部,10,20220630,"1.全方位工作技能- 外區服務、內區餐點製作 2.協助營運管理工作及營運目標達成【6/30(四) 下午2:00-4:00 ,艋舺站辦理微型現場徵才活動】",台北市萬華區,無,日班、夜班、輪班二班制,月薪,32000,40500,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=99538&HIRE_ID=11222159","王品餐飲股份有限公司",20220601
"咖啡館門市正職人員★(中山區-南京店、松江店)",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,5,20220718,"◎#13中山區-南京店、松江店◎【工作內容】 1.咖啡製作 2.飲品調飲製作 3.輕食及簡易餐點製作 4.負責結帳與收銀 5.咖啡相關產品銷售及介紹 6.協助店內產品掌控、結帳、盤點及清潔規範等相關事宜 7.需配合門市輪早晚班及門市輪調 ",台北市中山區,無,日班、輪班二班制、中班,月薪,27500,29000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=498944&HIRE_ID=11196401","伯朗咖啡股份有限公司",20220518
